Date,Open,High,Low,Close,5SMA,10SMA,20SMA,RSI,MACD,Signal
20200301 00:00:00,8523.61000000,8675.00000000,8511.11000000,8648.37000000,,,,,,
20200301 12:00:00,8647.42000000,8750.00000000,8411.00000000,8531.88000000,,,,,,
20200302 00:00:00,8530.30000000,8776.98000000,8498.00000000,8758.35000000,,,,,,
20200302 12:00:00,8758.39000000,8965.75000000,8718.95000000,8915.24000000,,,,,,
20200303 00:00:00,8911.18000000,8919.65000000,8735.37000000,8858.22000000,8742.41200000,,,,,
20200303 12:00:00,8858.45000000,8898.74000000,8651.00000000,8760.07000000,8764.75200000,,,,,
20200304 00:00:00,8760.07000000,8848.29000000,8694.07000000,8717.12000000,8801.80000000,,,,,
20200304 12:00:00,8717.21000000,8782.31000000,8660.00000000,8750.87000000,8800.30400000,,,,,
20200305 00:00:00,8750.99000000,9122.62000000,8746.54000000,9100.89000000,8837.43400000,,,,,
20200305 12:00:00,9100.59000000,9159.42000000,9011.98000000,9054.68000000,8876.72600000,8809.56900000,,,,
20200306 00:00:00,9054.64000000,9170.00000000,8985.50000000,9127.92000000,8950.29600000,8857.52400000,,,,
20200306 12:00:00,9129.12000000,9137.50000000,9000.00000000,9131.88000000,9033.24800000,8917.52400000,,,,
20200307 00:00:00,9130.89000000,9143.55000000,9050.00000000,9089.00000000,9100.87400000,8950.58900000,,,,
20200307 12:00:00,9089.00000000,9188.00000000,8835.00000000,8886.66000000,9058.02800000,8947.73100000,,58.21480036,,
20200308 00:00:00,8885.25000000,8886.76000000,8670.00000000,8741.53000000,8995.39800000,8936.06200000,,52.91946098,,
20200308 12:00:00,8741.30000000,8747.43000000,8000.00000000,8033.31000000,8776.47600000,8863.38600000,,38.60270753,,
20200309 00:00:00,8034.76000000,8179.31000000,7675.28000000,7804.92000000,8511.08400000,8772.16600000,,28.22373981,,
20200309 12:00:00,7803.64000000,7947.57000000,7632.01000000,7929.87000000,8279.25800000,8690.06600000,,27.16100890,,
20200310 00:00:00,7929.87000000,8114.10000000,7850.00000000,8065.02000000,8114.93000000,8586.47900000,,32.25773260,,
20200310 12:00:00,8064.83000000,8149.00000000,7728.01000000,7894.56000000,7945.53600000,8470.46700000,8640.01800000,31.24693953,,
20200311 00:00:00,7894.57000000,7965.49000000,7750.00000000,7821.86000000,7903.24600000,8339.86100000,8598.69250000,30.84923419,,
